,job_name,domain_x,domain_y,plot_x,plot_y,house_domain_fraction,trees_domain_fraction,run_time,dis_spatiotemporal_mean,sweep_perc,delta_s0_bounds_perc
0,20211205T220846,96,216,8,8,4,4,600,2.2537034357526176e-06,0.5204025205761317,0.3727173353909465
1,20211205T221030,96,216,4,4,4,4,600,2.2660117642379103e-06,0.4923353909465021,0.33763824588477365
2,20211205T221210,96,216,2,8,4,4,600,2.1982329433837544e-06,0.5167824074074074,0.416358024691358
3,20211205T221348,96,216,2,12,4,4,600,2.1982329433837544e-06,0.5167824074074074,0.416358024691358
4,20211205T221528,96,216,4,8,4,4,600,2.2306774624090626e-06,0.5675282921810699,0.33928755144032924
5,20211205T222038,96,216,8,8,4,8,600,1.4389407487563146e-06,0.5132298096707819,0.36594328703703705
6,20211205T222218,96,216,4,4,4,8,600,1.1952294979566409e-06,0.5764371141975309,0.3911104681069959
